Component,Dataset,link,Reason 1,Reason 2,Reason 3,Caution,About,MoreInfoAvaialable
Alzheimer’s disease,ADNI,https://adni.loni.usc.edu/,"Longitudinal, multi-site, multi-modal",Deep phenotyping & standardized protocols,Benchmark dataset in neurodegeneration,Access via DUA; site/protocol heterogeneity,Progressive neurodegenerative disorder,Yes
Young healthy adults,AOMIC – ID1000,https://nilab-uva.github.io/AOMIC.github.io/,Large healthy cohort (≈928),Multimodal MRI + psychometrics,Easily accessible,Limited clinical measures; limited diversity,Normative young adult imaging/behavior,Yes
Schizophrenia,COBRE,https://fcon_1000.projects.nitrc.org/indi/retro/cobre.html,Public sMRI/fMRI with schizophrenia & controls,Widely used in ML benchmarks,Clear inclusion/exclusion criteria,Modest sample size; single-site,Chronic psychiatric disorder with cognitive deficits,Yes
Healthy (genetics focus),BGSP (GSP),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25833,Large sample with imaging + behavior,"Designed to link brain, behavior, genetics",Good for normative baselines,Mostly single T1 + resting-state; limited diversity,Normative cohort for variability studies,Yes
"Dementia (MRI + PET, community)",MCSA,https://www.mayo.edu/research/centers-programs/alzheimers-disease-research-center/research-activities/mayo-clinic-study-aging/overview,Very large longitudinal aging/dementia cohort,"Includes MRI, PET & cognitive norms",High methodological rigor,Site identification & protocol differences,Community cohort across normal to MCI/AD spectrum,Yes
Healthy aging,IXI,https://brain-development.org/ixi-dataset/,Open access; easy to handle,Widely used as baseline aging data,Contains both 1.5T and 3T scans,Scanner and field heterogeneity; limited diversity,"Healthy adult, cross-sectional",Yes
Harmonization / test–retest,CoRR,https://fcon_1000.projects.nitrc.org/indi/CoRR/html/index.html,Multi-site resource for reliability studies,Scanner parameters documented,Standard for harmonization methods,Aggregating metadata per site can be time-consuming,Test–retest reliability across labs,Yes
Large aging & Alzheimer’s (longitudinal),OASIS-3,https://sites.wustl.edu/oasisbrains/home/oasis-3/,"Longitudinal MRI, PET, clinical for aging and AD","Large number of participants (~1,098)",Strong documentation and usage,Limited demographic diversity; multiple protocols,Aging to Alzheimer’s disease continuum,Yes
Large pediatric / youth (transdiagnostic),HBN,https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/MRI_EEG.html,Very large ongoing child/adolescent cohort,"Deep phenotyping (EEG, behavior, actigraphy)",Open pipelines and portals,Some data gated; ongoing updates,Neurodevelopment and mental health in youth,Yes
"Deeply phenotyped, lifespan cohort",NKI-Enhanced,https://fcon_1000.projects.nitrc.org/indi/enhanced/,Lifespan community sample,"Multiband MRI, genetics, deep phenotypes",Frequent open releases,Ongoing study; some phenotypes gated,Transdiagnostic normative lifespan cohort,Yes
Latin American neurodegeneration (multi-disease),BrainLat,https://www.synapse.org/Synapse:syn51549340/files/,"Deep phenotyping across AD, FTD, PD, MS",Synapse-hosted portal and data dictionary,Enhances geographic diversity,Not fully pan-Latin America; metadata inconsistencies,Regional multi-disorder focus including dementia,Yes
Brazil (child/adolescent risk),BHRC,https://osf.io/ktz5h/,"Large community cohort (~2,500)",MRI + psych + genetic data documented,Unique South American open resource,"1.5T scanners, limited centers; some labels gated",Psychiatric risk trajectories in youth,Yes
Chinese young adults (HCP-like),C-HCP,https://doi.org/10.11922/sciencedb.01374,HCP-like multimodal imaging in Han Chinese cohort,Comparable to Human Connectome Project,Public via ScienceDB,Narrow age range; registration or DUA required,Connectomics in Chinese healthy adults,Yes
Chinese young adults (normative),ISYB,https://doi.org/10.11922/sciencedb.00740,215 multimodal MRI dataset,Adds ethnicity/cultural diversity,Useful normative reference,Demographics differ across versions,Healthy young Chinese cohort,Yes
Japan multi-disorder rs-fMRI,SRPBS Multi-disorder,https://bicr-resource.atr.jp/srpbsopen/,"Multi-site, multi-disorder imaging data",Open and restricted subsets available,Large download (~75GB),One site demographic requires DUA; large file size,"Psychiatric disorders (MDD, SZ, ASD) resting-state imaging",Yes
Autism,ABIDE,https://fcon_1000.projects.nitrc.org/indi/abide/,Aggregated multi-site ASD/control MRI,Preprocessed versions exist,Community standard for ASD studies,"Heterogeneity across sites, ages, IQ; QC required",Neurodevelopmental condition with male predominance,Yes
African gliomas,BraTS-Africa,https://www.cancerimagingarchive.net/collection/brats-africa/,First multi-center African glioma MRI dataset,Enhances representation,Hosted on public archive (TCIA),1.5T only; retrospective clinical heterogeneity,Primary brain tumors (gliomas),No
India aging & dementia,LASI-DAD (neuroimaging subsample),https://lasi-dad.org/,Indian cohort with MRI data (N≈137),Linked to rich cognitive and economic survey data,Imaging via IDA in DICOM/NIfTI,Restricted access; moderate imaging sample size,Aging and dementia in Indian population,Yes
"AD prevention (at-risk, healthy)",PREVENT-AD,https://preventad.loris.ca/main.php,Cognitively normal individuals at AD risk,Multimodal longitudinal measures,Public LORIS platform (account required),Gated access; specialized cohort,Pre-symptomatic AD risk tracking,Yes
Scanner/vendor harmonization,CC-359 (Calgary-Campinas),https://www.ccdataset.com/download,Multi-vendor T1-weighted MRI (359 scans),Ideal for harmonization and domain shift studies,Public download,T1 only; healthy older adults; not disease-specific,Acquisition diversity for bias analysis,Yes
Brain tumor (glioma) segmentation,BraTS 2021,https://www.cancerimagingarchive.net/analysis-result/rsna-asnr-miccai-brats-2021/,"Multi-modality MRI with labels (~2,040 patients)",Hosted via TCIA and challenge repositories,Widely adopted benchmarks,Multi-site protocol heterogeneity; requires proper splitting,"Primary gliomas, segmentation and molecular attributes",No
Brain metastases,BrainMetShare,https://aimi.stanford.edu/datasets/brainmetshare,Whole-brain MRIs with metastasis segmentations,Pre- and post-contrast sequences,Clear segmentation tasks,Single-source data; licensing/clinical context to check,Secondary brain tumors (metastases),No
GBM explainability / longitudinal,"LUMIERE (GBM, RANO ratings)",https://springernature.figshare.com/collections/The_LUMIERE_Dataset_Longitudinal_Glioblastoma_MRI_with_Expert_RANO_Evaluation/5904905,Longitudinal GBM MRI with expert RANO assessments,Well-suited for explainability and response studies,Carefully curated timepoints and labels,"Single center, moderate number of patients",Glioblastoma longitudinal imaging,No
Chest X-ray explainability,CheXpert,https://aimi.stanford.edu/datasets/chexpert-chest-x-rays,Large chest X-ray dataset (~224k images),Benchmark for model evaluation and uncertainty,Public competitions and baselines,X-ray (not CT); label noise due to NLP; domain shifts,Thoracic imaging multi-label findings,No
Korea aging & Alzheimer’s,KBASE,http://kbase.kr/eng/main/index.php,Korean ADNI-like cohort (CU/MCI/AD),"Biomarker-focused, broad age range",Connected to global Alzheimer’s networks,Access requires application; modality/site heterogeneity,Early AD risk and diagnosis in Korean population,No
Parkinson’s disease,PPMI,https://www.ppmi-info.org/,"Longitudinal, multi-center PD cohort with imaging, ‘omics & sensors.",Open access with active expansion.,De-facto standard for PD progression biomarkers.,DUA needed; evolving protocols over years → harmonization care.,Neurodegenerative movement disorder with dopaminergic loss.,Yes
Mood disorders (China),REST-Meta-MDD,https://www.scidb.cn/en/detail?dataSetId=cbeb3c7124bf47a6af7b3236a3aaf3a8,Large multi-site MDD resting-state dataset,Commonly used in ML/biomarker research,Detailed site and acquisition documentation,Access2 varries by site; heterogeneity high,Major depressive disorder resting-state MRI,No
dMRI reference directory,"Curated list (ABCD, HCP, UKB)",https://brain.labsolver.org/abcd.html,Handy directory of major public dMRI datasets,Saves time exploring resources,Updated with links and notes,Not a dataset itself; check each resource’s license,Directory of major diffusion MRI projects,No
